volume_id	book_id	volume_num	total	path	filesize
000034781_02	000034781	2	2	0000/000034781_02_text.txt	4457
000034785_01	000034785	1	1	0000/000034785_01_text.txt	6638
000034789_01	000034789	1	1	0000/000034789_01_text.txt	587
000034790_01	000034790	1	1	0000/000034790_01_text.txt	272
000034791_01	000034791	1	1	0000/000034791_01_text.txt	1215
000034793_01	000034793	1	1	0000/000034793_01_text.txt	4216
000034800_01	000034800	1	1	0000/000034800_01_text.txt	353
000034805_01	000034805	1	3	0000/000034805_01_text.txt	197
000034805_02	000034805	2	3	0000/000034805_02_text.txt	189
000034805_03	000034805	3	3	0000/000034805_03_text.txt	171
000034806_01	000034806	1	3	0000/000034806_01_text.txt	197
000034806_02	000034806	2	3	0000/000034806_02_text.txt	198
000034806_03	000034806	3	3	0000/000034806_03_text.txt	210
000034809_01	000034809	1	1	0000/000034809_01_text.txt	590
000034810_01	000034810	1	3	0000/000034810_01_text.txt	292
000034810_02	000034810	2	3	0000/000034810_02_text.txt	274
000034810_03	000034810	3	3	0000/000034810_03_text.txt	347
000034811_01	000034811	1	1	0000/000034811_01_text.txt	907
000034816_01	000034816	1	3	0000/000034816_01_text.txt	257
000034816_02	000034816	2	3	0000/000034816_02_text.txt	256
000034816_03	000034816	3	3	0000/000034816_03_text.txt	247
000034821_01	000034821	1	3	0000/000034821_01_text.txt	178
000034821_02	000034821	2	3	0000/000034821_02_text.txt	189
000034821_03	000034821	3	3	0000/000034821_03_text.txt	191
000034823_01	000034823	1	3	0000/000034823_01_text.txt	236
000034823_02	000034823	2	3	0000/000034823_02_text.txt	238
000034823_03	000034823	3	3	0000/000034823_03_text.txt	235
000034826_01	000034826	1	3	0000/000034826_01_text.txt	275
000034826_02	000034826	2	3	0000/000034826_02_text.txt	279
000034826_03	000034826	3	3	0000/000034826_03_text.txt	281
000034837_01	000034837	1	1	0000/000034837_01_text.txt	942
000034847_01	000034847	1	3	0000/000034847_01_text.txt	209
000034847_02	000034847	2	3	0000/000034847_02_text.txt	192
000034847_03	000034847	3	3	0000/000034847_03_text.txt	187
000034852_01	000034852	1	1	0000/000034852_01_text.txt	547
000034854_01	000034854	1	1	0000/000034854_01_text.txt	521
000034857_01	000034857	1	3	0000/000034857_01_text.txt	205
000034857_02	000034857	2	3	0000/000034857_02_text.txt	194
000034857_03	000034857	3	3	0000/000034857_03_text.txt	199
000034858_01	000034858	1	3	0000/000034858_01_text.txt	218
000034858_02	000034858	2	3	0000/000034858_02_text.txt	212
000034858_03	000034858	3	3	0000/000034858_03_text.txt	202
000034862_01	000034862	1	1	0000/000034862_01_text.txt	645
000034865_01	000034865	1	1	0000/000034865_01_text.txt	932
000034867_01	000034867	1	1	0000/000034867_01_text.txt	944
000034869_01	000034869	1	1	0000/000034869_01_text.txt	924
000034872_01	000034872	1	3	0000/000034872_01_text.txt	226
000034872_02	000034872	2	3	0000/000034872_02_text.txt	226
000034872_03	000034872	3	3	0000/000034872_03_text.txt	228
000034876_01	000034876	1	1	0000/000034876_01_text.txt	889
000034880_01	000034880	1	1	0000/000034880_01_text.txt	884
000034894_01	000034894	1	3	0000/000034894_01_text.txt	248
000034894_02	000034894	2	3	0000/000034894_02_text.txt	247
000034894_03	000034894	3	3	0000/000034894_03_text.txt	255
000034900_01	000034900	1	1	0000/000034900_01_text.txt	1333
000034907_01	000034907	1	3	0000/000034907_01_text.txt	210
000034907_02	000034907	2	3	0000/000034907_02_text.txt	198
000034907_03	000034907	3	3	0000/000034907_03_text.txt	228
000034909_01	000034909	1	3	0000/000034909_01_text.txt	275
000034909_02	000034909	2	3	0000/000034909_02_text.txt	249
000034909_03	000034909	3	3	0000/000034909_03_text.txt	264
000034913_01	000034913	1	3	0000/000034913_01_text.txt	195
000034913_02	000034913	2	3	0000/000034913_02_text.txt	210
000034913_03	000034913	3	3	0000/000034913_03_text.txt	204
000034914_01	000034914	1	1	0000/000034914_01_text.txt	1162
000034920_01	000034920	1	1	0000/000034920_01_text.txt	784
000034921_01	000034921	1	1	0000/000034921_01_text.txt	791
000034928_01	000034928	1	3	0000/000034928_01_text.txt	222
